dim1,dim2,label
28288,1408,f
19072,1920,f
26240,1920,f
27776,2176,f
16000,2688,f
15744,2944,f
16000,2944,f
15488,3200,f
15744,3200,f
15232,3456,f
15488,3456,f
15744,3456,f
16000,3456,f
16256,3456,f
17280,3456,f
14720,3712,f
14976,3712,f
15488,3712,f
16256,3712,f
16512,3712,f
17024,3712,f
17280,3712,f
27008,3712,f
14720,3968,f
14976,3968,f
15232,3968,f
15488,3968,f
16000,3968,f
17280,3968,f
14208,4224,f
14976,4224,f
15232,4224,f
15488,4224,f
14208,4480,f
14976,4480,f
15232,4480,f
26496,4480,f
24448,4736,f
14464,4992,f
14720,4992,f
15488,4992,f
21888,4992,f
22144,4992,f
14720,5248,f
21888,5248,f
22144,5248,f
21632,5504,f
14464,5760,f
12928,6016,f
13184,6016,f
14464,6016,f
12160,6272,f
12416,6272,f
12672,6272,f
12928,6272,f
27008,6272,f
27264,6272,f
12416,6784,f
21120,6784,f
21376,6784,f
10880,7040,f
20864,7040,f
21120,7040,f
21376,7040,f
9856,7296,f
10880,7296,f
11136,7296,f
20864,7296,f
21120,7296,f
9344,7552,f
10880,7552,f
13952,7552,f
23424,7552,f
23680,7552,f
32128,7552,f
13184,7808,f
13696,7808,f
13952,7808,f
22656,7808,f
23424,7808,f
32640,7808,f
32896,7808,f
13696,8064,f
21632,8064,f
22144,8064,f
22400,8064,f
23424,8064,f
32640,8064,f
32896,8064,f
10624,8320,f
13440,8320,f
13696,8320,f
21376,8320,f
21632,8320,f
22144,8320,f
10624,8576,f
21632,8576,f
31872,8576,f
32128,8576,f
32896,9344,f
6016,9600,f
6272,9600,f
8576,9600,f
8832,9600,f
9600,9600,f
31872,9600,f
32128,9600,f
6016,9856,f
8320,9856,f
8576,9856,f
8064,10112,f
8320,10112,f
11904,10112,f
8064,10368,f
6272,10624,f
6528,10624,f
7040,10624,f
7296,10624,f
7552,10624,f
11392,10624,f
23936,10624,f
24192,10624,f
31360,10624,f
6272,10880,f
6528,10880,s
6784,10880,s
7040,10880,s
7296,10880,f
7552,10880,f
9856,10880,f
10112,10880,f
10880,10880,f
11136,10880,f
12672,10880,f
13696,10880,f
24192,10880,f
6272,11136,s
6528,11136,s
6784,11136,s
7040,11136,f
9856,11136,f
10112,11136,f
10624,11136,f
10880,11136,f
12672,11136,f
23680,11136,f
30080,11136,f
30848,11136,f
6016,11392,f
6272,11392,s
6528,11392,s
6784,11392,s
7552,11392,f
10624,11392,f
10880,11392,f
23424,11392,f
31872,11392,f
32896,11392,f
6016,11648,f
6272,11648,s
6528,11648,s
7040,11648,f
10624,11648,f
22912,11648,f
5760,11904,f
6016,11904,f
6272,11904,f
6528,11904,f
7040,11904,f
21888,11904,f
24704,11904,f
5760,12160,f
6016,12160,f
6272,12160,f
6528,12160,f
7040,12160,f
34944,12160,f
6016,12416,f
6272,12416,f
6784,12416,s
7040,12416,f
7296,12416,f
7552,12416,f
7808,12416,f
15744,12416,f
30336,12416,f
30592,12416,f
6016,12672,f
6272,12672,f
6528,12672,s
6784,12672,s
7040,12672,s
7296,12672,s
7552,12672,f
15744,12672,f
22400,12672,f
29312,12672,f
6016,12928,f
6272,12928,f
6528,12928,f
6784,12928,s
7040,12928,s
7296,12928,f
15488,12928,f
29056,12928,f
6016,13184,f
7040,13184,f
15488,13184,f
26496,13184,f
6272,13440,f
8064,13440,f
15488,13440,f
15744,13440,f
16256,13440,f
16512,13440,f
30336,13440,f
6272,13696,f
6528,13696,f
12160,13696,f
13440,13696,f
13952,13696,f
28544,13696,f
30080,13696,f
4736,13952,f
17536,13952,f
17792,13952,f
24960,13952,f
28288,13952,f
28544,13952,f
29824,13952,f
30080,13952,f
32896,13952,f
4736,14208,f
5504,14208,f
11904,14208,f
12416,14208,f
17280,14208,f
17536,14208,f
17792,14208,f
28544,14208,f
5504,14464,f
12160,14464,f
12416,14464,f
17024,14464,f
17280,14464,f
17536,14464,f
28032,14464,f
11904,14720,f
12160,14720,f
17024,14720,f
17280,14720,f
17536,14720,f
27776,14720,f
28032,14720,f
28288,14720,f
13696,14976,f
13952,14976,f
17280,14976,f
17536,14976,f
27776,14976,f
28032,14976,f
29312,14976,f
31360,14976,f
4992,15232,f
11904,15232,f
17280,15232,f
26752,15232,f
27008,15232,f
27776,15232,f
29312,15232,f
11648,15488,f
11904,15488,f
16512,15488,f
17280,15488,f
17536,15488,f
17792,15488,f
18048,15488,f
27008,15488,f
27264,15488,f
27520,15488,f
27776,15488,f
29056,15488,f
29312,15488,f
10624,15744,f
17792,15744,f
18048,15744,f
18304,15744,f
24448,15744,f
25728,15744,f
25984,15744,f
26496,15744,f
26752,15744,f
27520,15744,f
5760,16000,f
18048,16000,f
18304,16000,f
18560,16000,f
20352,16000,f
23168,16000,f
25728,16000,f
26496,16000,f
26752,16000,f
5760,16256,f
18304,16256,f
18560,16256,f
22912,16256,f
25216,16256,f
26496,16256,f
27264,16256,f
37248,16256,f
37504,16256,f
18048,16512,f
18304,16512,f
18560,16512,f
23424,16512,f
26496,16512,f
27264,16512,f
33664,16512,f
6528,16768,f
18560,16768,f
24448,16768,f
24704,16768,f
26240,16768,f
26496,16768,f
26752,16768,f
36736,16768,f
6528,17024,f
9600,17024,f
11392,17024,f
18304,17024,f
18560,17024,f
24448,17024,f
24704,17024,f
25984,17024,f
26240,17024,f
26496,17024,f
26752,17024,f
28544,17024,f
32128,17024,f
6784,17280,f
7040,17280,f
18304,17280,f
24704,17280,f
25984,17280,f
26240,17280,f
28288,17280,f
28544,17280,f
18048,17536,f
24960,17536,f
25984,17536,f
26496,17536,f
27776,17536,s
28032,17536,e
28288,17536,f
28544,17536,f
29568,17536,f
18048,17792,f
25728,17792,f
25984,17792,f
27520,17792,s
27776,17792,s
28032,17792,e
28288,17792,s
28544,17792,f
18048,18048,f
21120,18048,f
21632,18048,f
25728,18048,f
25984,18048,f
27008,18048,f
27264,18048,f
27520,18048,s
27776,18048,s
28032,18048,e
28288,18048,f
17792,18304,f
18304,18304,f
21120,18304,f
21376,18304,f
21632,18304,f
25728,18304,f
25984,18304,f
26752,18304,f
27008,18304,f
27264,18304,f
27520,18304,f
27776,18304,f
28032,18304,f
28288,18304,f
13440,18560,f
21888,18816,f
25984,18816,f
26752,18816,f
